"contrast","sender","receiver","ligand","receptor","lfc_ligand","lfc_receptor","ligand_receptor_lfc_avg","p_val_ligand","p_adj_ligand","p_val_receptor","p_adj_receptor"
"PLA-platelet.free","B.cells","Monocytes","HLA.DOB","CD4",-1.76,-0.363,-1.0615,1.76e-10,2.52e-09,8.46e-09,4.52e-07
"platelet.free-PLA","CD4.T.cells","B.cells","FURIN","INSR",-1.14,-0.986,-1.063,3.4e-09,2.9e-08,0.0197,0.044
"platelet.free-PLA","B.cells","Monocytes","LGALS1","ITGB1",-2.02,-0.109,-1.0645,5.75e-19,4.04e-17,0.144,0.345
"platelet.free-PLA","CD4.T.cells","B.cells","CD9","IGSF8",-2.88,0.751,-1.0645,2.59e-15,7.67e-14,2.72e-05,0.000147
"PLA-platelet.free","Monocytes","B.cells","PAM","FXYD1",0.508,-2.64,-1.066,0.00172,0.0136,4.9e-07,3.89e-06
"PLA-platelet.free","B.cells","Monocytes","HLA.DOA","CD4",-1.77,-0.363,-1.0665,1.72e-10,2.46e-09,8.46e-09,4.52e-07
"PLA-platelet.free","B.cells","NK.cells","HLA.DRA","CD37",-1.62,-0.513,-1.0665,2.21e-14,6.84e-13,3.45e-11,1.76e-08
"PLA-platelet.free","B.cells","B.cells","TCTN3","FCRL1",-0.596,-1.54,-1.068,0.0119,0.0289,6.14e-11,9.69e-10
"PLA-platelet.free","B.cells","B.cells","TCTN1","TMEM216",-1.49,-0.647,-1.0685,1.57e-07,1.35e-06,0.00619,0.0166
"platelet.free-PLA","CD4.T.cells","CD8.T.cells","CCL5","CXCR3",-1.55,-0.588,-1.069,1.11e-18,6.94e-17,1.08e-10,8.22e-09
"platelet.free-PLA","CD8.T.cells","Monocytes","S100A9","ALCAM",-1.59,-0.549,-1.0695,2.29e-09,1.09e-07,0.000125,0.00155
"PLA-platelet.free","B.cells","Monocytes","LTA","TNFRSF1B",-1.94,-0.201,-1.0705,2.87e-05,0.000154,0.000101,0.0013
"platelet.free-PLA","B.cells","B.cells","F11R","JAM3",-1.93,-0.211,-1.0705,1.43e-05,8.26e-05,0.498,0.598
"platelet.free-PLA","B.cells","CD4.T.cells","GRN","TNFRSF1A",-1.57,-0.571,-1.0705,1.3e-14,4.17e-13,1.12e-09,1.06e-08
"platelet.free-PLA","B.cells","B.cells","JAM3","F11R",-0.211,-1.93,-1.0705,0.498,0.598,1.43e-05,8.26e-05
"platelet.free-PLA","CD4.T.cells","CD4.T.cells","HLA.DMA","CD74",-1.16,-0.981,-1.0705,6.65e-18,3.5e-16,8.4e-22,1.83e-19
"platelet.free-PLA","CD4.T.cells","CD4.T.cells","HLA.DPB1","LAG3",-0.753,-1.39,-1.0715,1.27e-12,2.22e-11,4.41e-11,5.68e-10
"platelet.free-PLA","NK.cells","B.cells","GRN","TNFRSF1B",-0.363,-1.78,-1.0715,0.054,0.23,8.15e-17,3.78e-15
"platelet.free-PLA","NK.cells","B.cells","ADAM17","IL6R",-0.313,-1.83,-1.0715,0.0449,0.205,1.43e-08,1.46e-07
"platelet.free-PLA","B.cells","B.cells","NAMPT","ITGB1",-2.15,0.00511,-1.072445,2.87e-14,8.79e-13,0.977,0.986
"PLA-platelet.free","Monocytes","B.cells","HLA.DRA","CD37",-0.637,-1.51,-1.0735,5.35e-16,2.47e-13,2.09e-14,6.48e-13
"platelet.free-PLA","B.cells","NK.cells","F11R","ITGB2",-1.93,-0.219,-1.0745,1.43e-05,8.26e-05,4.23e-05,0.00194
"platelet.free-PLA","CD8.T.cells","CD4.T.cells","S100A9","ITGB2",-1.59,-0.561,-1.0755,2.29e-09,1.09e-07,4.61e-14,1.08e-12
"platelet.free-PLA","B.cells","CD4.T.cells","HLA.B","LILRB1",0.398,-2.55,-1.076,3.47e-06,2.29e-05,1.54e-17,7.26e-16
"platelet.free-PLA","CD4.T.cells","CD4.T.cells","CCL5","CXCR3",-1.55,-0.602,-1.076,1.11e-18,6.94e-17,5.16e-09,4.28e-08
"PLA-platelet.free","B.cells","Monocytes","EBI3","IL6ST",-2.41,0.257,-1.0765,9.02e-08,8.1e-07,0.00461,0.0293
"platelet.free-PLA","CD4.T.cells","Monocytes","TSPAN33","ADAM10",-2.18,0.0256,-1.0772,1.13e-10,1.33e-09,0.626,0.817
"platelet.free-PLA","Monocytes","CD4.T.cells","ADAM10","TSPAN33",0.0256,-2.18,-1.0772,0.626,0.817,1.13e-10,1.33e-09
"PLA-platelet.free","B.cells","B.cells","HLA.DRB1","CD53",-1.35,-0.814,-1.082,1.8e-12,3.87e-11,2.8e-10,3.82e-09
"platelet.free-PLA","B.cells","CD8.T.cells","NAMPT","ADORA2A",-2.15,-0.016,-1.083,2.87e-14,8.79e-13,0.874,0.942
"PLA-platelet.free","Monocytes","B.cells","ZG16B","CXCR4",-0.567,-1.6,-1.0835,0.00312,0.0218,1.15e-11,2.1e-10
"PLA-platelet.free","B.cells","CD4.T.cells","CD200","CD200R1",-1.65,-0.518,-1.084,1.17e-08,1.21e-07,5.49e-05,0.000196
"platelet.free-PLA","CD4.T.cells","CD8.T.cells","HLA.DRA","LAG3",-1.88,-0.289,-1.0845,2.09e-22,5.8e-20,6.11e-06,0.000101
"platelet.free-PLA","CD8.T.cells","Monocytes","S100A12","TLR4",-2.03,-0.143,-1.0865,1.41e-13,4.61e-11,0.0131,0.0648
"platelet.free-PLA","CD4.T.cells","NK.cells","TSPAN33","ADAM10",-2.18,0.00119,-1.089405,1.13e-10,1.33e-09,0.986,0.997
"platelet.free-PLA","NK.cells","CD4.T.cells","ADAM10","TSPAN33",0.00119,-2.18,-1.089405,0.986,0.997,1.13e-10,1.33e-09
"PLA-platelet.free","NK.cells","B.cells","HLA.DRA","CD19",-0.529,-1.65,-1.0895,0.00517,0.0522,9.52e-15,3.13e-13
"platelet.free-PLA","Monocytes","NK.cells","HP","CD163",-1.04,-1.14,-1.09,3.16e-13,7.69e-11,2.06e-06,0.000223
"platelet.free-PLA","CD4.T.cells","Monocytes","PECAM1","CD38",-1.99,-0.194,-1.092,8.71e-14,1.95e-12,0.178,0.396
"platelet.free-PLA","Monocytes","CD4.T.cells","CD38","PECAM1",-0.194,-1.99,-1.092,0.178,0.396,8.71e-14,1.95e-12
"platelet.free-PLA","NK.cells","B.cells","DUSP18","CD151",-0.267,-1.92,-1.0935,0.143,0.407,5.45e-13,1.3e-11
"PLA-platelet.free","NK.cells","Monocytes","LTB","TNFRSF1A",-2.25,0.0614,-1.0943,1.68e-18,1.82e-15,0.232,0.469
"platelet.free-PLA","CD4.T.cells","B.cells","ADAM17","IL6R",-0.363,-1.83,-1.0965,0.000272,0.000827,1.43e-08,1.46e-07
"platelet.free-PLA","CD4.T.cells","B.cells","NAMPT","INSR",-1.21,-0.986,-1.098,3e-10,3.25e-09,0.0197,0.044
"platelet.free-PLA","CD4.T.cells","Monocytes","ITGAM","ICAM1",-2.33,0.133,-1.0985,2.44e-16,8.69e-15,0.143,0.344
"platelet.free-PLA","Monocytes","CD4.T.cells","ICAM1","ITGAM",0.133,-2.33,-1.0985,0.143,0.344,2.44e-16,8.69e-15
"platelet.free-PLA","Monocytes","B.cells","VCAN","SELPLG",-0.599,-1.6,-1.0995,1.16e-10,1.14e-08,3.3e-13,8.17e-12
"platelet.free-PLA","CD4.T.cells","CD8.T.cells","TSPAN33","ADAM10",-2.18,-0.0226,-1.1013,1.13e-10,1.33e-09,0.663,0.818
"platelet.free-PLA","CD8.T.cells","CD4.T.cells","ADAM10","TSPAN33",-0.0226,-2.18,-1.1013,0.663,0.818,1.13e-10,1.33e-09
"platelet.free-PLA","B.cells","Monocytes","SELPLG","SELL",-1.6,-0.603,-1.1015,3.3e-13,8.17e-12,3.34e-11,3.81e-09
"platelet.free-PLA","Monocytes","B.cells","SELL","SELPLG",-0.603,-1.6,-1.1015,3.34e-11,3.81e-09,3.3e-13,8.17e-12
"platelet.free-PLA","B.cells","CD4.T.cells","B2M","LILRB1",0.345,-2.55,-1.1025,8.49e-06,5.18e-05,1.54e-17,7.26e-16
"platelet.free-PLA","NK.cells","B.cells","LYZ","ITGAL",-0.755,-1.45,-1.1025,0.0116,0.0882,1.85e-09,2.21e-08
"PLA-platelet.free","NK.cells","B.cells","HLA.DRA","CR2",-0.529,-1.68,-1.1045,0.00517,0.0522,2.42e-06,1.64e-05
"PLA-platelet.free","B.cells","Monocytes","HLA.DQA2","CD4",-1.85,-0.363,-1.1065,8.82e-11,1.34e-09,8.46e-09,4.52e-07
"platelet.free-PLA","CD8.T.cells","Monocytes","VCAN","SELL",-1.61,-0.603,-1.1065,1.15e-10,8.58e-09,3.34e-11,3.81e-09
"PLA-platelet.free","CD4.T.cells","B.cells","PAM","FXYD1",0.426,-2.64,-1.107,4.62e-05,0.000169,4.9e-07,3.89e-06
"platelet.free-PLA","CD4.T.cells","NK.cells","CCL5","CCR1",-1.55,-0.666,-1.108,1.11e-18,6.94e-17,0.00013,0.00424
"platelet.free-PLA","B.cells","NK.cells","CD244","CD79B",-3.56,1.34,-1.11,5.24e-09,5.72e-08,8.64e-12,4.69e-09
"platelet.free-PLA","NK.cells","B.cells","CD79B","CD244",1.34,-3.56,-1.11,8.64e-12,4.69e-09,5.24e-09,5.72e-08
"platelet.free-PLA","NK.cells","B.cells","ICAM2","ITGAM",0.497,-2.72,-1.1115,6.08e-05,0.00247,2.14e-16,9.4e-15
"platelet.free-PLA","NK.cells","B.cells","ICAM1","ITGAX",-0.145,-2.08,-1.1125,0.333,0.643,1.05e-10,1.57e-09
"platelet.free-PLA","Monocytes","CD4.T.cells","ALOX5AP","ALOX5",-0.76,-1.47,-1.115,4.71e-12,6.55e-10,4.67e-08,3.15e-07
"platelet.free-PLA","CD8.T.cells","CD4.T.cells","S100A8","ITGB2",-1.67,-0.561,-1.1155,7.16e-10,4.29e-08,4.61e-14,1.08e-12
"platelet.free-PLA","B.cells","CD4.T.cells","ADAM9","ITGA6",-3.11,0.876,-1.117,5.37e-11,8.58e-10,1.28e-13,2.8e-12
"PLA-platelet.free","NK.cells","CD8.T.cells","LTB","TNFRSF1A",-2.25,0.0146,-1.1177,1.68e-18,1.82e-15,0.771,0.885
"platelet.free-PLA","CD4.T.cells","B.cells","CD40LG","ITGAM",0.484,-2.72,-1.118,2.52e-08,1.8e-07,2.14e-16,9.4e-15
"PLA-platelet.free","NK.cells","Monocytes","LTB","LTBR",-2.25,0.0128,-1.1186,1.68e-18,1.82e-15,0.819,0.928
"PLA-platelet.free","Monocytes","B.cells","HLA.DRB1","CD19",-0.588,-1.65,-1.119,1.15e-14,3.75e-12,9.52e-15,3.13e-13
"PLA-platelet.free","CD4.T.cells","NK.cells","CD70","CD27",1.47,-3.71,-1.12,5.63e-11,7.02e-10,3.12e-12,1.81e-09
"platelet.free-PLA","Monocytes","B.cells","CCL4","CCR1",1.48,-3.72,-1.12,1.81e-06,4.34e-05,9.05e-15,3e-13
"PLA-platelet.free","B.cells","B.cells","BTLA","TNFRSF14",-1.63,-0.613,-1.1215,8.87e-11,1.34e-09,7.09e-07,5.38e-06
"PLA-platelet.free","B.cells","B.cells","TNFRSF14","BTLA",-0.613,-1.63,-1.1215,7.09e-07,5.38e-06,8.87e-11,1.34e-09
"platelet.free-PLA","Monocytes","CD4.T.cells","HLA.DRA","CD9",0.637,-2.88,-1.1215,5.35e-16,2.47e-13,2.59e-15,7.67e-14
"PLA-platelet.free","B.cells","CD4.T.cells","CD40","CD40LG",-1.76,-0.484,-1.122,2.05e-11,3.54e-10,2.52e-08,1.8e-07
"PLA-platelet.free","CD4.T.cells","B.cells","CD40LG","CD40",-0.484,-1.76,-1.122,2.52e-08,1.8e-07,2.05e-11,3.54e-10
"platelet.free-PLA","CD4.T.cells","CD8.T.cells","LGALS1","ITGB1",-1.85,-0.397,-1.1235,1.1e-17,5.34e-16,1.22e-09,6.44e-08
"platelet.free-PLA","B.cells","B.cells","LTB","TNFRSF1A",1.97,-4.22,-1.125,1.04e-12,2.39e-11,2.8e-22,5.63e-20
"platelet.free-PLA","Monocytes","Monocytes","CCL5","CCR1",-2.21,-0.0405,-1.12525,2.25e-12,3.52e-10,0.496,0.725
"platelet.free-PLA","CD8.T.cells","B.cells","ICAM1","ITGAX",-0.175,-2.08,-1.1275,0.156,0.326,1.05e-10,1.57e-09
"platelet.free-PLA","B.cells","CD8.T.cells","NAMPT","ITGA5",-2.15,-0.108,-1.129,2.87e-14,8.79e-13,0.277,0.478
"platelet.free-PLA","B.cells","Monocytes","NAMPT","ITGB1",-2.15,-0.109,-1.1295,2.87e-14,8.79e-13,0.144,0.345
"platelet.free-PLA","NK.cells","NK.cells","HP","ASGR2",-1.23,-1.03,-1.13,7.1e-05,0.00277,2.66e-05,0.00138
"platelet.free-PLA","Monocytes","B.cells","ICAM2","ITGAM",0.458,-2.72,-1.131,6.51e-08,2.49e-06,2.14e-16,9.4e-15
"platelet.free-PLA","B.cells","NK.cells","F11R","F11R",-1.93,-0.336,-1.133,1.43e-05,8.26e-05,0.0281,0.156
"platelet.free-PLA","CD4.T.cells","Monocytes","HLA.DRA","CD82",-1.88,-0.386,-1.133,2.09e-22,5.8e-20,8.47e-07,2.37e-05
"platelet.free-PLA","NK.cells","B.cells","F11R","F11R",-0.336,-1.93,-1.133,0.0281,0.156,1.43e-05,8.26e-05
"PLA-platelet.free","Monocytes","B.cells","HLA.DRB1","CR2",-0.588,-1.68,-1.134,1.15e-14,3.75e-12,2.42e-06,1.64e-05
"platelet.free-PLA","CD4.T.cells","NK.cells","LILRB2","SIGLEC10",-3.9,1.63,-1.135,8.35e-19,5.47e-17,1.59e-07,2.76e-05
"platelet.free-PLA","B.cells","NK.cells","IL18","IL18RAP",-2.32,0.0497,-1.13515,8.37e-08,7.54e-07,0.782,0.94
"PLA-platelet.free","Monocytes","B.cells","LTB","CD40",-0.515,-1.76,-1.1375,1.96e-07,6.68e-06,2.05e-11,3.54e-10
"platelet.free-PLA","B.cells","CD4.T.cells","F11R","ITGAL",-1.93,-0.346,-1.138,1.43e-05,8.26e-05,2.35e-06,1.14e-05
"platelet.free-PLA","NK.cells","CD4.T.cells","SPON2","ITGAM",0.0521,-2.33,-1.13895,0.759,0.929,2.44e-16,8.69e-15
"platelet.free-PLA","B.cells","B.cells","LTA","TNFRSF1A",1.94,-4.22,-1.14,2.87e-05,0.000154,2.8e-22,5.63e-20
"platelet.free-PLA","CD4.T.cells","CD4.T.cells","GRN","TNFRSF1A",-1.71,-0.571,-1.1405,1.76e-15,5.44e-14,1.12e-09,1.06e-08
"platelet.free-PLA","CD4.T.cells","CD4.T.cells","LGALS1","ITGB1",-1.85,-0.435,-1.1425,1.1e-17,5.34e-16,7.23e-07,3.93e-06
"platelet.free-PLA","NK.cells","B.cells","S100A9","ITGB2",-0.596,-1.69,-1.143,0.106,0.339,4.62e-17,2.27e-15
"platelet.free-PLA","B.cells","CD4.T.cells","HLA.A","LILRB1",0.263,-2.55,-1.1435,0.0023,0.00715,1.54e-17,7.26e-16
"platelet.free-PLA","B.cells","CD4.T.cells","SEMA4A","PLXND1",-0.997,-1.29,-1.1435,2.87e-05,0.000154,6.28e-10,6.27e-09
"PLA-platelet.free","Monocytes","B.cells","HLA.DRA","CD19",-0.637,-1.65,-1.1435,5.35e-16,2.47e-13,9.52e-15,3.13e-13
"platelet.free-PLA","Monocytes","CD4.T.cells","HBEGF","CD9",0.592,-2.88,-1.144,0.000548,0.00536,2.59e-15,7.67e-14
"platelet.free-PLA","B.cells","B.cells","LTB","LTBR",1.97,-4.26,-1.145,1.04e-12,2.39e-11,2.59e-16,1.12e-14
"platelet.free-PLA","B.cells","B.cells","ADAM17","IL6R",-0.475,-1.83,-1.1525,0.0115,0.0281,1.43e-08,1.46e-07
"platelet.free-PLA","CD8.T.cells","NK.cells","S100A9","ALCAM",-1.59,-0.718,-1.154,2.29e-09,1.09e-07,0.00311,0.0374
"platelet.free-PLA","NK.cells","B.cells","S100A8","ITGB2",-0.621,-1.69,-1.1555,0.0845,0.302,4.62e-17,2.27e-15
"platelet.free-PLA","B.cells","B.cells","FURIN","NOTCH1",-0.882,-1.43,-1.156,0.00465,0.0131,4.6e-06,2.97e-05
"PLA-platelet.free","B.cells","NK.cells","EBI3","IL27RA",-2.41,0.0943,-1.15785,9.02e-08,8.1e-07,0.207,0.5
"PLA-platelet.free","Monocytes","B.cells","HLA.DRA","CR2",-0.637,-1.68,-1.1585,5.35e-16,2.47e-13,2.42e-06,1.64e-05
"platelet.free-PLA","CD4.T.cells","B.cells","FLT3LG","FLT3",0.611,-2.93,-1.1595,2.5e-14,6.11e-13,7.79e-09,8.3e-08
"platelet.free-PLA","B.cells","B.cells","LTA","LTBR",1.94,-4.26,-1.16,2.87e-05,0.000154,2.59e-16,1.12e-14
"PLA-platelet.free","NK.cells","NK.cells","LILRB2","SIGLEC10",-0.693,-1.63,-1.1615,0.0121,0.0905,1.59e-07,2.76e-05
"platelet.free-PLA","B.cells","CD4.T.cells","ADAM10","TSPAN33",-0.145,-2.18,-1.1625,0.291,0.393,1.13e-10,1.33e-09
"platelet.free-PLA","CD4.T.cells","B.cells","TSPAN33","ADAM10",-2.18,-0.145,-1.1625,1.13e-10,1.33e-09,0.291,0.393
"platelet.free-PLA","B.cells","Monocytes","NAMPT","INSR",-2.15,-0.177,-1.1635,2.87e-14,8.79e-13,0.128,0.32
"platelet.free-PLA","B.cells","NK.cells","IL18","IL18R1",-2.32,-0.0149,-1.16745,8.37e-08,7.54e-07,0.943,0.992
"platelet.free-PLA","B.cells","CD4.T.cells","HLA.C","LILRB1",0.215,-2.55,-1.1675,0.0125,0.0301,1.54e-17,7.26e-16
"platelet.free-PLA","NK.cells","CD4.T.cells","B2M","LILRB1",0.213,-2.55,-1.1685,0.0156,0.106,1.54e-17,7.26e-16
"platelet.free-PLA","CD4.T.cells","CD8.T.cells","CCL5","CCR5",-1.55,-0.789,-1.1695,1.11e-18,6.94e-17,7.5e-11,6.03e-09
"platelet.free-PLA","CD8.T.cells","B.cells","VCAN","CD44",-1.61,-0.736,-1.173,1.15e-10,8.58e-09,1.19e-08,1.22e-07
"platelet.free-PLA","NK.cells","CD4.T.cells","HLA.DRA","CD9",0.529,-2.88,-1.1755,0.00517,0.0522,2.59e-15,7.67e-14
"platelet.free-PLA","CD4.T.cells","B.cells","DUSP18","CD151",-0.433,-1.92,-1.1765,5.38e-05,0.000192,5.45e-13,1.3e-11
"platelet.free-PLA","B.cells","Monocytes","PECAM1","CD38",-2.16,-0.194,-1.177,6.44e-16,2.63e-14,0.178,0.396
"platelet.free-PLA","Monocytes","B.cells","CD38","PECAM1",-0.194,-2.16,-1.177,0.178,0.396,6.44e-16,2.63e-14
"platelet.free-PLA","CD4.T.cells","CD4.T.cells","CFH","ITGAM",-0.0383,-2.33,-1.18415,0.802,0.867,2.44e-16,8.69e-15
"platelet.free-PLA","NK.cells","NK.cells","HP","CD163",-1.23,-1.14,-1.185,7.1e-05,0.00277,2.06e-06,0.000223
"platelet.free-PLA","Monocytes","B.cells","PF4","CXCR3",-2.98,0.61,-1.185,3.71e-21,3.25e-18,0.04,0.0792
"platelet.free-PLA","CD4.T.cells","CD4.T.cells","ADAM10","TSPAN33",-0.196,-2.18,-1.188,2.76e-05,0.000106,1.13e-10,1.33e-09
"platelet.free-PLA","CD4.T.cells","CD4.T.cells","TSPAN33","ADAM10",-2.18,-0.196,-1.188,1.13e-10,1.33e-09,2.76e-05,0.000106
"platelet.free-PLA","B.cells","B.cells","ICAM1","ITGAL",-0.927,-1.45,-1.1885,0.00449,0.0127,1.85e-09,2.21e-08
"platelet.free-PLA","B.cells","B.cells","ITGAL","ICAM1",-1.45,-0.927,-1.1885,1.85e-09,2.21e-08,0.00449,0.0127
"platelet.free-PLA","Monocytes","CD4.T.cells","CCL5","CCR4",-2.21,-0.167,-1.1885,2.25e-12,3.52e-10,0.0774,0.124
"PLA-platelet.free","B.cells","Monocytes","IL7","IL2RG",-1.97,-0.41,-1.19,2.49e-06,1.69e-05,0.00227,0.017
"platelet.free-PLA","B.cells","B.cells","SIRPA","CD69",-4.18,1.8,-1.19,8.3e-19,5.52e-17,4.05e-11,6.58e-10
"platelet.free-PLA","CD8.T.cells","B.cells","S100A9","AGER",-1.59,-0.795,-1.1925,2.29e-09,1.09e-07,0.0407,0.0804
"platelet.free-PLA","CD8.T.cells","CD4.T.cells","HLA.F","LILRB1",0.162,-2.55,-1.194,0.000419,0.00343,1.54e-17,7.26e-16
"platelet.free-PLA","Monocytes","CD4.T.cells","B2M","LILRB1",0.162,-2.55,-1.194,5.59e-05,0.000786,1.54e-17,7.26e-16
"PLA-platelet.free","B.cells","Monocytes","EBI3","IL27RA",-2.41,0.0214,-1.1943,9.02e-08,8.1e-07,0.746,0.889
"PLA-platelet.free","B.cells","NK.cells","EBI3","IL6ST",-2.41,0.0205,-1.19475,9.02e-08,8.1e-07,0.897,0.981
"PLA-platelet.free","B.cells","B.cells","HLA.DRB1","CD81",-1.35,-1.04,-1.195,1.8e-12,3.87e-11,4.55e-11,7.3e-10
"PLA-platelet.free","B.cells","B.cells","IL7","IL7R",-1.97,-0.424,-1.197,2.49e-06,1.69e-05,0.291,0.393
"platelet.free-PLA","B.cells","CD4.T.cells","NAMPT","ITGA5",-2.15,-0.245,-1.1975,2.87e-14,8.79e-13,0.0197,0.0371
"platelet.free-PLA","CD4.T.cells","CD4.T.cells","HLA.F","LILRB1",0.151,-2.55,-1.1995,0.00106,0.00279,1.54e-17,7.26e-16
"platelet.free-PLA","B.cells","B.cells","ICAM2","ITGAM",0.312,-2.72,-1.204,0.0291,0.0607,2.14e-16,9.4e-15
"platelet.free-PLA","B.cells","Monocytes","COL4A4","ITGB3",1.07,-3.48,-1.205,0.00254,0.00777,9.41e-24,1.65e-20
"platelet.free-PLA","NK.cells","CD4.T.cells","HLA.F","LILRB1",0.138,-2.55,-1.206,0.054,0.23,1.54e-17,7.26e-16
"platelet.free-PLA","Monocytes","CD4.T.cells","HLA.F","LILRB1",0.135,-2.55,-1.2075,0.00885,0.0486,1.54e-17,7.26e-16
"platelet.free-PLA","B.cells","CD8.T.cells","LGALS1","ITGB1",-2.02,-0.397,-1.2085,5.75e-19,4.04e-17,1.22e-09,6.44e-08
"platelet.free-PLA","CD8.T.cells","B.cells","ICAM2","ITGAM",0.302,-2.72,-1.209,5.83e-09,2.41e-07,2.14e-16,9.4e-15
"platelet.free-PLA","CD4.T.cells","B.cells","GZMB","MCL1",-1.59,-0.833,-1.2115,7.61e-10,7.5e-09,4.78e-10,6.29e-09
"platelet.free-PLA","CD8.T.cells","CD4.T.cells","SPON2","ITGAM",-0.0941,-2.33,-1.21205,0.109,0.255,2.44e-16,8.69e-15
"PLA-platelet.free","B.cells","CD8.T.cells","IL7","IL7R",-1.97,-0.455,-1.2125,2.49e-06,1.69e-05,1.81e-06,3.57e-05
"PLA-platelet.free","B.cells","B.cells","HMGB1","TLR9",-0.408,-2.02,-1.214,0.00186,0.00597,8.95e-07,6.61e-06
"platelet.free-PLA","NK.cells","B.cells","VCAN","SELPLG",-0.832,-1.6,-1.216,0.00245,0.032,3.3e-13,8.17e-12
"PLA-platelet.free","B.cells","B.cells","HLA.DRA","CD53",-1.62,-0.814,-1.217,2.21e-14,6.84e-13,2.8e-10,3.82e-09
"platelet.free-PLA","CD8.T.cells","NK.cells","S100A12","TLR4",-2.03,-0.408,-1.219,1.41e-13,4.61e-11,0.0854,0.303
"platelet.free-PLA","NK.cells","CD4.T.cells","HLA.C","LILRB1",0.101,-2.55,-1.2245,0.167,0.441,1.54e-17,7.26e-16
"platelet.free-PLA","Monocytes","NK.cells","PF4","CXCR3",-2.98,0.527,-1.2265,3.71e-21,3.25e-18,0.0189,0.12
"platelet.free-PLA","B.cells","CD4.T.cells","LGALS1","ITGB1",-2.02,-0.435,-1.2275,5.75e-19,4.04e-17,7.23e-07,3.93e-06
"platelet.free-PLA","B.cells","CD4.T.cells","LILRB4","LAIR1",-2.01,-0.451,-1.2305,2.53e-08,2.49e-07,5.33e-06,2.4e-05
"platelet.free-PLA","CD8.T.cells","Monocytes","S100A12","CD36",-2.03,-0.433,-1.2315,1.41e-13,4.61e-11,2.09e-08,9.58e-07
"platelet.free-PLA","CD8.T.cells","B.cells","S100A8","AGER",-1.67,-0.795,-1.2325,7.16e-10,4.29e-08,0.0407,0.0804
"platelet.free-PLA","Monocytes","Monocytes","PF4","THBD",-2.98,0.514,-1.233,3.71e-21,3.25e-18,8.24e-05,0.00109
"platelet.free-PLA","Monocytes","B.cells","ICAM4","ITGAM",0.252,-2.72,-1.234,0.0484,0.166,2.14e-16,9.4e-15
"platelet.free-PLA","CD4.T.cells","CD4.T.cells","HLA.DMB","CD74",-1.49,-0.981,-1.2355,1e-14,2.7e-13,8.4e-22,1.83e-19
"platelet.free-PLA","CD4.T.cells","NK.cells","ITGAM","ICAM1",-2.33,-0.145,-1.2375,2.44e-16,8.69e-15,0.333,0.643
"platelet.free-PLA","NK.cells","CD4.T.cells","ICAM1","ITGAM",-0.145,-2.33,-1.2375,0.333,0.643,2.44e-16,8.69e-15
"platelet.free-PLA","NK.cells","CD4.T.cells","HLA.B","LILRB1",0.0724,-2.55,-1.2388,0.221,0.517,1.54e-17,7.26e-16
"platelet.free-PLA","CD8.T.cells","NK.cells","S100A9","CD36",-1.59,-0.888,-1.239,2.29e-09,1.09e-07,0.000308,0.00752
"platelet.free-PLA","B.cells","NK.cells","PSAP","LRP1",-1.9,-0.581,-1.2405,1.66e-19,1.33e-17,0.0148,0.104
"PLA-platelet.free","B.cells","Monocytes","LTB","CD40",-1.97,-0.516,-1.243,1.04e-12,2.39e-11,3.25e-05,0.000497
"platelet.free-PLA","B.cells","B.cells","HLA.DQA2","CD4",1.85,-4.34,-1.245,8.82e-11,1.34e-09,1.28e-13,3.45e-12
"platelet.free-PLA","CD4.T.cells","CD4.T.cells","HLA.DQB1","LAG3",-1.1,-1.39,-1.245,2.11e-17,9.56e-16,4.41e-11,5.68e-10
"platelet.free-PLA","B.cells","CD4.T.cells","F11R","ITGB2",-1.93,-0.561,-1.2455,1.43e-05,8.26e-05,4.61e-14,1.08e-12
"platelet.free-PLA","CD4.T.cells","CD4.T.cells","CD9","IGSF8",-2.88,0.388,-1.246,2.59e-15,7.67e-14,3.6e-08,2.49e-07
"platelet.free-PLA","B.cells","B.cells","APP","SORL1",-0.854,-1.64,-1.247,3.49e-06,2.29e-05,3.82e-11,6.26e-10
"platelet.free-PLA","CD4.T.cells","CD4.T.cells","IL16","CD9",0.385,-2.88,-1.2475,8.16e-10,7.96e-09,2.59e-15,7.67e-14
"platelet.free-PLA","CD8.T.cells","CD4.T.cells","HLA.B","LILRB1",0.0529,-2.55,-1.24855,0.0848,0.213,1.54e-17,7.26e-16
"platelet.free-PLA","CD4.T.cells","B.cells","ICAM2","ITGAM",0.221,-2.72,-1.2495,7.8e-05,0.000269,2.14e-16,9.4e-15
"platelet.free-PLA","B.cells","B.cells","TNFSF13B","TNFRSF13C",-3.96,1.46,-1.25,1.9e-21,3.14e-19,4.83e-09,5.32e-08
"platelet.free-PLA","Monocytes","CD4.T.cells","HLA.B","LILRB1",0.0486,-2.55,-1.2507,0.158,0.366,1.54e-17,7.26e-16
"PLA-platelet.free","B.cells","B.cells","CD200","CD200R1",-1.65,-0.852,-1.251,1.17e-08,1.21e-07,0.0383,0.0762
"platelet.free-PLA","CD4.T.cells","CD8.T.cells","ITGAM","ICAM1",-2.33,-0.175,-1.2525,2.44e-16,8.69e-15,0.156,0.326
"platelet.free-PLA","CD8.T.cells","CD4.T.cells","ICAM1","ITGAM",-0.175,-2.33,-1.2525,0.156,0.326,2.44e-16,8.69e-15
